	murra668_20180508_qc_15	murra668_20180508_qc_16	murra668_20180508_qc_17	murra668_20180508_qc_18	murra668_20180508_qc_19	murra668_20180508_qc_20	murra668_20180508_qc_21	murra668_20180508_qc_22	murra668_20180508_qc_23	murra668_20180508_qc_24
M186T340	146566072.069174	141730328.318415	143327845.626957	137900338.438371	131183903.18166	128823653.688232	129310567.305105	128007356.42079	126564055.958237	129807496.513804
M187T340	25412543.0333002	22157975.9264116	24024844.0896545	22482993.3595465	23788904.1772141	22878189.7201747	24238538.9815164	22711097.1436793	21062890.8801248	22746629.3249342
M190T404	2522772.74556337	2262047.51475414	2526071.76161199	2316150.72083079	1957561.77754205	1726823.03415339	2031461.25579968	1864205.44712768	1859238.21728226	1840492.97986521
M194T545	370066296.635919	366614374.819797	375037010.838912	372293965.35308	342099295.771076	331990736.86705	351607933.369155	335940022.978316	327193662.867117	346566583.400775
M195T545	69810148.9738188	71525230.6400999	71130740.029769	69560558.4211275	64282603.4807477	62247278.8509196	63095148.7646517	63454687.0864855	62525074.222212	63094282.3191495
M198T301	4323884.9668269	4281129.85358858	3872955.64759046	4263928.14561498	3576742.49032944	3491172.90688647	3432668.54430117	3706035.413052	3147676.57423045	3828575.53685799
M200T376	6033683.06649023	6028879.25717076	6903486.5304586	5910793.41288348	5647807.62799483	5249031.97768319	5259203.61589492	5363988.99696891	4932513.38869977	5544041.61511342
M208T340	8941202.25162762	7914465.80623793	8573120.02390276	9191374.08540909	8615922.27910654	8459916.41960961	8277428.54631369	9089594.62680402	7967805.4018354	7316438.0717413
M208T577	4894365.24417184	5211413.51139901	5084982.61107707	5002722.8363354	4830019.92653326	4266382.58939904	4448966.68449897	4486740.05874416	4304048.02673761	4352174.26101562
M209T602	3368437.02500572	3394764.92572166	3405730.61206709	3115961.79185733	3111690.79910843	3103578.00458493	2964888.42005851	2719884.12483599	2927181.24464693	3042902.88656939
M210T473	69341243.7237997	67967141.3574668	75764165.2178099	70375137.2473488	63383867.0139768	61156674.3198653	61776808.0360094	61805081.560315	54494130.4597096	64055384.89843
M219T684	19016025.874536	14294234.0491461	16751392.4631995	18647710.9388979	18028497.9259391	15451027.5861674	16406358.9891911	14586740.6698191	20472883.0635514	14418241.2972187
M226T385	1550699.66825994	1498991.99510491	1385881.38152679	1413324.07937754	1321766.15393539	1384985.77119614	1354376.06598091	1278292.03842317	1388117.53836305	1283346.81356421
M229T342	6313472.95622483	5887196.05586876	6125405.07325781	5701446.21592576	5941021.79613033	6069493.78735572	5578784.76649658	5647419.87983602	6506352.46366646	5254087.02339962
M231T229	4948753.68768102	4758589.78195276	4755746.3996781	4582551.96648944	4100046.81661386	3973570.13221446	3974216.32459598	3956684.95966346	3620582.64192584	3935829.64214679
M234T560	2124585.55447812	2063008.25775524	2107800.65163645	1927985.6801366	1558818.47926608	1584738.41504604	1574567.32870919	1562436.11029567	1410454.61782864	1565984.50632677
M237T464	23531865.2322131	23785266.9330353	23038662.3829778	21746701.6577602	20030144.6834062	19475097.7388761	19894720.3468263	18885934.3383825	18193548.9714761	19910693.2637715
M238T464	3846337.58889224	3865702.94595298	4022831.62091408	3612666.26235275	3821245.99405882	3608566.8625563	3436017.75657705	3476735.10734086	3492106.27687646	3379602.12221298
M242T397	437144726.4606	459428200.687505	457906928.309458	448975587.922093	404682354.92952	397595566.679321	409219977.740521	403020753.428879	389965079.645219	403695996.701751
M243T397	98494322.9129753	99886474.3427532	99525734.9802191	94922105.6056608	85543840.5326928	88546603.32814	86042255.6001128	83031611.4894594	83159244.7968084	87700860.0779271
M244T385	2028346.02319464	1939803.68433367	1632163.04431279	1857988.35511485	1868913.85236976	1696310.29356521	1595210.09299516	1693816.34372537	1541949.51959138	1539075.01098832
M247T342	51551032.8244191	51930316.4249026	49467911.3424441	48497098.0381779	46397162.8574459	47819340.5604821	46422547.742245	47655047.6034207	44503363.0375026	48320292.7710956
M247T758	308812516.480303	301807583.211922	342099601.786696	288995679.995079	280028815.783502	254078766.297454	262580236.441786	267183435.05192	249612559.223309	260655180.337698
M248T758	69768463.4599813	62969178.9756075	74556735.4287732	61350452.1816784	61513937.4938515	54310814.3363579	60628413.9364382	55668416.1535089	54978276.818481	58091682.4712314
M259T464	6460643.43633807	6014918.345518	6611309.66787504	5683097.68623858	5565790.2894495	4910976.47593724	5675598.34967556	5493306.68034469	5094788.65276599	5291517.74657137
M265T342	10971673.0124607	10888077.5258691	9677130.27632186	10154023.1659367	10167795.3286732	8945836.80438022	9550814.33593771	8672906.96365422	7752274.78201752	10247711.228809
M279T624	20521850.2312641	20924627.019111	21200442.846	20524342.1941273	19566751.264302	19153110.6024058	19256770.2937818	19372530.3953774	18218589.8562693	19590750.667043
M280T624	4418560.06070834	4280467.48485514	4514628.69072612	4173161.95709117	4057984.9531781	3906106.4083333	3793083.12555001	3868137.15544872	3645259.54850588	3870659.24062983
M287T342	18167151.1358427	18166696.9085356	17510927.5392722	17483201.6301844	15297831.3898212	15929263.9901655	15010863.4422777	15042446.1249542	15380418.9123506	16416548.1460576
M288T342	3209187.84218056	3156810.81062466	2679636.99150708	3249581.24780199	3257386.0077556	3497184.99766351	3037412.7753938	3166366.44671229	3422057.77729456	2712557.38422591
M288T438	16199983.2167307	11896472.9671515	7788905.34455816	6538393.35639101	8206137.09841667	5457847.07381367	10574575.1042652	6905676.08699459	16746795.3622688	15718233.4699685
M298T493	872493544.023003	856318056.043712	902550446.45608	829864179.052992	774263882.053073	760209535.1349	763285952.235967	746909762.183008	744282221.348076	800181297.991482
M299T518	8638398.54116332	8458372.0120117	8951042.73301263	8328964.34800638	7970482.90609479	7600539.96804135	7483384.77113705	7471671.49938548	8295555.78206389	8646069.32083193
M299T493	212501140.641199	207272254.413632	226776637.96509	213622851.585188	207150100.267923	194241657.051668	196707660.389434	182666070.054202	189949568.119005	207392893.57949
M300T505	4899362.26671524	5710618.29511766	6008510.11932802	4238042.42242499	5048190.62539575	4691841.50275076	4450096.39907913	4303923.0319063	4331968.87627904	4613955.8859281
M300T493	18665488.9841277	23306886.6018233	21274399.9305335	16957972.1881782	18454887.767973	17851602.1563858	17082863.5161596	17903621.6589796	18266904.1034468	21388096.3033616
M301T504	3684020.75012417	3686564.04601848	3055631.64405469	3702537.04404675	2816128.02556584	1630841.26840376	3171532.09994284	1908575.06673945	3405168.52886193	3025741.54218173
M301T624	8305249.09290007	8117064.73779541	8885518.73951388	8554457.880675	7468821.03486993	7339596.6101786	7504857.423854	7785460.38699997	7141021.69612493	7940472.23768747
M307T684	576859811.571349	559801450.282041	597961311.403152	561333271.20459	525087914.283882	499800366.778592	502478673.143293	496471113.830294	507276501.887483	522330385.564469
M308T684	123550023.645462	124910082.830368	134887862.644	114818604.964412	114272681.530219	109391447.288907	110658079.200325	110935817.143154	107034788.605409	111542837.740823
M309T466	34627088.4149252	34411400.7840057	37024069.0369507	33030409.7359128	31980886.9453003	30101651.8058356	31457093.3146165	30519189.0983179	29047265.4978159	31174945.4279947
M309T684	19171698.97115	19088150.7071838	16956992.3907264	21358170.8592528	17275179.3257499	17700462.3082544	15615110.2928175	16011497.9555833	17489770.5057229	15571574.374
M310T466	7955946.90428568	8218583.51395957	8624426.23411678	8116873.65858746	8042550.54818748	7146087.80547003	7237963.92320755	6960250.71540401	7024354.88231988	7755962.59750891
M310T805	11732200.1276441	11953386.6722396	13415239.8656182	10689948.7416423	9603041.96406242	8858184.64107629	10004893.4932222	9572099.85550007	9146909.87158727	8800086.37114937
M317T417	35231611.312209	34901588.9792128	35160391.5246942	33908831.4656016	30719229.1279634	30473304.8672131	30752806.9608725	30287147.7258896	30475907.6052647	31482793.8037968
M318T417	9929169.91763584	9315141.11781113	9487103.48445212	9077500.15380033	7870185.24402953	7866450.20323504	8290147.44039946	8225838.74112002	8175295.33746106	7857503.49297653
M319T417	4881645.57497114	4888312.57859318	5257602.43779429	4819748.58946407	4317581.00725539	4323495.23404593	4553425.36682157	4304668.84032859	4489182.55186013	4483276.9781516
M329T684	206338846.344114	204696442.313608	197352396.61132	199543888.751264	181273100.912264	192381749.605046	180805090.370095	179468147.540079	181478977.303905	185584205.291999
M330T685	44761887.9162597	48918014.5326915	50911737.9418867	42027494.1851176	44520392.6125754	41975462.8384691	47406379.0757423	33668440.8529532	45557745.2236156	47134801.7641833
M331T722	7553857.73527912	8014091.66326107	7440274.60077568	7450406.95155146	6882990.62309619	6923242.6037849	6163841.22236715	6625366.93313221	5976401.03284378	6912748.36916362
M333T407	48743153.1891629	47304618.3447435	48446149.6089411	45794167.2223273	44112837.9369602	43351780.5451307	42277400.4623012	43341684.3720491	43543041.0243036	44657219.9005838
M334T407	11717668.285527	11891611.2024504	12113554.3955614	11884969.0128549	10921821.8940311	10876008.2148901	10675252.3764353	10710335.76795	10718945.2847154	11858655.0821728
M335T407	1822486.386588	1859941.85293763	1931089.64167503	1560292.0095134	1932530.14583228	1989685.94294222	1742627.69246136	1713504.19387875	2087052.08871864	1843457.41159008
M336T670	8051041.52687251	7902438.57321432	8060130.2620408	6951698.25751441	7171082.14212243	6705432.48101999	7005762.0135937	6863709.26201024	6134304.89961162	6904315.0084822
M338T739	60673360.6099358	68166101.1900006	77632891.7699996	64457601.5449288	39247525.070177	264192443.979583	187373409.60046	43756503.4800381	25769716.8154236	192753033.23662
M339T475	216427088.279418	211657398.884396	223754345.81222	213697906.573232	191335312.108161	189616841.117727	201508655.204942	190940626.439959	187481266.61427	212189934.833682
M339T739	17345959.2189106	20050067.3972502	22849353.4943453	18141471.5990569	10628325.0484822	74765234.2329086	53000457.3775381	13297175.3008929	7098375.29337657	54134597.6507325
M340T475	55169948.2997456	52726318.8839572	56350629.2302737	54061583.6613884	49606004.4706751	49964569.8368202	48636088.5419229	47576840.9210902	48548381.8389734	52969031.328141
M341T475	8232700.37999998	7904964.3567538	11353276.4627014	10205559.5843102	9176255.26816585	8616910.06652303	7890328.39121023	8016590.28465066	8133329.32079746	9520193.60118221
M341T348	16607209.0117191	14243018.9358556	16031053.0089947	16420349.0191889	9150478.96703416	13045829.2853878	13935224.3054843	14620935.1108808	9992870.0148776	13280708.1178694
M346T550	1673428.54925582	2048284.10928557	2049976.93316053	1787425.01175	2164903.67111202	1888450.51907621	1418185.51240501	1728424.17341859	1874201.23496414	1963526.38432246
M347T392	4243513.07549174	4291546.84417566	4224236.07255561	4317461.19716316	3963130.68800162	3431148.51542741	4075749.55310391	4128204.48044019	3684955.22738365	4263552.13907632
M347T402	1673567.81803909	1909352.5563504	2332072.78589252	1659352.35140242	1799732.3159833	1730258.34092507	1818794.5838007	1510626.79489576	1624729.39745195	1693366.13246397
M348T721	2275424.70811732	2161720.79413512	2178672.34200821	2331641.73810823	1984418.24403243	1810916.32167098	2020846.54487501	2017265.89356861	2045003.74420314	1990232.17173529
M355T209	192431318.111688	189265666.616378	183336498.58967	181132348.915384	168584718.626074	161089933.071387	162890875.05405	165394189.247313	167104721.848682	175834519.840793
M356T209	37708175.4418019	36967167.5584187	36659342.7138461	38087909.2973076	34447188.4401277	34231863.0501269	32234143.0300582	34441638.7557213	33033113.3710752	34993790.9315989
M357T209	7075583.34151789	7450195.21446734	6322537.97968018	6777080.83709134	7076271.77336422	5343242.83607137	6161056.19178005	6515445.99230814	6038732.44433104	6738443.06819088
M359T348	379022152.447789	372922373.997029	350815948.317952	347150044.545354	336933463.894418	326425262.194736	328736463.463882	341844088.53708	320823444.662401	343942836.242541
M360T348	97359007.4472603	101085156.672461	92588024.9180904	85541190.5720606	86175740.2489461	88530462.9675455	88210414.5236284	90176967.1732291	85764341.6274109	94781997.583848
M361T353	520242619.686058	524682226.678766	507194007.910063	489568519.238116	479100428.55675	471628147.325717	465728516.27081	473941004.344955	449016008.476298	497199214.192511
M362T353	143353483.872989	134560592.275227	123928556.376471	128769429.556411	118153253.227232	127785067.335304	117949524.325347	124990262.494295	116040197.441212	128561621.607776
M363T353	20718833.6621959	23608230.127523	20773261.3367647	18493262.7085588	20802004.8800484	20380239.2410114	19178216.631532	21182961.26793	16785284.5650875	23872997.6715491
M365T238	3522584.51361212	3142995.9305498	3005874.9545563	3478235.38312954	3286761.56016355	2912146.43797167	3300398.52305301	3296529.79661663	3070053.52594564	3326655.82419999
M365T667	15924853.78708	15486349.3066547	17261842.3349559	14916346.4837531	15855663.2135222	14764660.336335	15748799.5440073	15902717.4288057	17182026.46524	17796428.5899666
