variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pool	isotopes	adduct	pcgroup
M172T667	M171.7855T667.26	171.78545454016	171.781216909241	171.789373732298	667.263000488281	667.07421875	667.601684570312	5	5			31
M174T524	M173.8049T523.58	173.804875523183	173.798039988515	173.808570287432	523.584106445312	523.249389648438	524.2841796875	9	9			50
M175T324	M174.7016T324.25	174.701643708146	174.696640092077	174.707719572995	324.252197265625	324.131591796875	324.399383544922	9	9			21
M176T301	M175.7368T301.39	175.736767532661	175.732071844365	175.740800099885	301.385696411133	301.227264404297	301.388214111328	10	10	[2][M]+		15
M176T384	M175.7812T384.11	175.781154796858	175.779186963118	175.785493600365	384.113891601562	384.010650634766	384.378234863281	9	9			36
M177T301	M176.7276T301.22	176.727611576526	176.721351470596	176.731865699867	301.223846435547	301.058715820312	301.383850097656	7	7	[2][M+1]+		15
M186T340	M185.7571T340.12	185.75708797756	185.753991552145	185.761555807518	340.118560791016	340.0986328125	340.270568847656	10	10		[M+K+NH3]+ 129.776	14
M187T340	M186.7301T340.27	186.730137965864	186.723114733727	186.732975350742	340.273254394531	340.101654052734	340.422088623047	8	8			14
M190T404	M189.7968T403.91	189.796775787512	189.793180616759	189.800335081015	403.906661987305	403.792510986328	404.188201904297	8	8		[M+H]+ 188.79	49
M194T545	M193.7693T544.69	193.769338582034	193.7655346313	193.772645961605	544.685468261719	544.515441894531	544.847412109375	10	10			7
M195T545	M194.7494T544.68	194.749411555619	194.744335262604	194.756104487536	544.6806640625	544.507629394531	544.847412109375	9	9			58
M198T301	M197.7369T301.39	197.736872502928	197.730369789922	197.739513805569	301.385986328125	300.904052734375	301.551727294922	5	5			15
M200T376	M199.838T375.97	199.838001670429	199.829886704517	199.842222085338	375.973693847656	375.76416015625	376.121032714844	7	7			41
M208T340	M207.7649T340.11	207.764866247803	207.757262904898	207.768337644283	340.1082	339.939178466797	340.260681152344	5	5		[M+Na+NH3]+ 167.74	14
M208T577	M207.8027T576.79	207.802705340062	207.796607490792	207.808102135628	576.787841796875	576.685791015625	576.925964355469	8	8			43
M209T602	M208.8837T601.59	208.883698321932	208.874359183467	208.884777639934	601.590454101562	601.578796386719	601.916137695312	5	5			48
M210T473	M209.7812T473.48	209.781182893693	209.774624465165	209.788161037115	473.482788085938	473.181793212891	473.804351806641	9	9		[M+K+HCOOH]+ 124.82 [M+Na+HCOOH]+ 140.794 [M+H+HCOOH]+ 162.776	9
M219T684	M218.7528T684.28	218.752764786238	218.744932123181	218.755646124045	684.277404785156	684.036560058594	684.366821289062	6	6			3
M226T385	M225.8825T385.46	225.88252244484	225.87626404113	225.890626902569	385.458343505859	385.406036376953	385.755126953125	5	5			54
M229T342	M228.8403T341.75	228.840346025908	228.831908235311	228.844915443892	341.754025048828	341.578521728516	341.909057617188	6	6			18
M231T229	M230.8702T228.87	230.870187156555	230.865388860497	230.876535077222	228.868453979492	228.670593261719	229.224670410156	8	8			24
M234T560	M233.8587T560.37	233.858668500766	233.851379706219	233.860928813123	560.366882324219	560.193725585938	560.544128417969	5	5			53
M237T464	M236.8234T464.23	236.823374420795	236.819637474608	236.82699236753	464.23274230957	464.092346191406	464.368225097656	10	10			27
M238T464	M237.8045T464.25	237.804506421782	237.795208113264	237.805976133989	464.246948242188	464.095245361328	464.368225097656	7	7			27
M242T397	M242.0396T397.13	242.039616449648	242.035533440821	242.041354486292	397.131072998047	396.963012695312	397.2858	9	9	[3][M]+		5
M243T397	M243.0236T397.13	243.023594136462	243.021683918177	243.030267761858	397.131072998047	397.114990234375	397.286254882812	9	9	[3][M+1]+		5
M244T385	M243.9218T385.41	243.921760720585	243.913743440669	243.927596706458	385.4112	385.065093994141	385.755126953125	7	7			54
M247T342	M246.8746T341.91	246.874595353434	246.871644608072	246.882302583457	341.912963867188	341.741882324219	342.015380859375	7	7		[M+H-H20]+ 263.888	18
M247T758	M246.9657T758.47	246.965717115201	246.963798744909	246.970066308388	758.468353271484	758.3857421875	758.628	10	10	[4][M]+		8
M248T758	M247.9499T758.46	247.949854847076	247.943638955523	247.954537157125	758.462219238281	758.303466796875	758.628	9	9	[4][M+1]+		8
M259T464	M258.8611T464.26	258.861102943683	258.856279217045	258.863840461892	464.264869995117	464.09033203125	464.386016845703	10	10			27
M265T342	M264.8975T342.08	264.89747157372	264.892150487002	264.905507891033	342.082550048828	341.909057617188	342.21484375	9	9		[M+H]+ 263.888	18
M279T624	M278.9455T624.06	278.945451892785	278.93964646582	278.94970047212	624.059997558594	623.885986328125	624.234497070312	9	9	[5][M]+		30
M280T624	M279.9293T624.06	279.929295800853	279.922728878593	279.935650586063	624.0602734375	623.885986328125	624.234008789062	8	8	[5][M+1]+		30
M287T342	M286.9486T341.8	286.94862763165	286.942858888478	286.955559365568	341.80485534668	341.578521728516	341.921844482422	8	8	[6][M]+		18
M288T342	M287.9355T341.82	287.93547008335	287.930471925197	287.938482720602	341.818371362305	341.578521728516	342.088806152344	6	6	[6][M+1]+		18
M288T438	M288.1436T437.7	288.143618721884	288.139027470715	288.146397947928	437.701934814453	437.165832519531	438.412170410156	7	7			32
M298T493	M298.2273T492.95	298.227341050737	298.224630818385	298.23292291415	492.952011108398	492.713531494141	493.194213867188	10	10	[7][M]+		1
M299T518	M298.9415T518.38	298.941524775252	298.934607762213	298.947029295303	518.383972167969	518.250244140625	518.938049316406	10	10			28
M299T493	M299.212T492.87	299.212011211349	299.20631920176	299.217040711847	492.872436523438	492.713531494141	493.194213867188	9	9	[7][M+1]+		1
M300T505	M299.9424T504.78	299.942396901119	299.938637290803	299.950504184404	504.784683227539	504.607788085938	504.964111328125	8	8			42
M300T493	M300.23T493.03	300.229984153078	300.228144209013	300.235371419117	493.033813476562	492.713531494141	493.194000244141	5	5	[7][M+2]+		1
M301T504	M300.9397T504.48	300.939735193222	300.937794709875	300.945587875822	504.477905273438	504.1428	505.320190429688	7	7			42
M301T624	M301.0121T624.06	301.012091138586	301.003952249361	301.018471998045	624.06	624.059020996094	624.235046386719	9	9			30
M307T684	M307.052T684.36	307.052021391121	307.04712986046	307.055993119772	684.36	684.039245605469	684.527465820312	9	9	[8][M]+		3
M308T684	M308.0404T684.36	308.040380641514	308.032066889046	308.045367946361	684.362243652344	684.198303222656	684.527465820312	8	8	[8][M+1]+		3
M309T466	M309.0051T466.11	309.005131572129	309.000063058511	309.011149539562	466.110862158203	465.934173583984	466.120758056641	10	10	[9][M]+	[M+Na]+ 286.018	22
M309T684	M309.0257T684.36	309.025707427059	309.021611637164	309.030792350901	684.364501953125	683.884399414062	684.527465820312	5	5	[8][M+2]+		3
M310T466	M309.9971T466.07	309.997086746107	309.991467685094	310.003065477997	466.074432373047	465.895263671875	466.114715576172	7	7	[9][M+1]+		22
M310T805	M310.2214T804.52	310.221447874821	310.21514712143	310.225677016136	804.524223388672	803.885986328125	805.027893066406	10	10			34
M317T417	M316.9788T416.75	316.978801923933	316.978070434338	316.984418121852	416.748672485352	416.578704833984	416.754180908203	10	10	[10][M]+		23
M318T417	M317.9725T416.75	317.972479417906	317.964126646044	317.974822554584	416.749603271484	416.581756591797	416.754180908203	9	9	[10][M+1]+		23
M319T417	M318.9861T417.44	318.986054646542	318.983163310281	318.995785366875	417.440338134766	417.272186279297	417.621002197266	7	7	[10][M+2]+		23
M329T684	M329.1231T684.44	329.123141243322	329.118264545657	329.127697162374	684.444410644531	684.039245605469	684.689392089844	10	10	[11][M]+		3
M330T685	M330.1132T684.52	330.113194471443	330.103728046276	330.117773492938	684.522	684.193786621094	684.8466796875	7	7	[11][M+1]+		3
M331T722	M331.2149T721.6	331.214891343268	331.210609540489	331.220792980635	721.599060058594	720.800720214844	721.809875488281	9	9		[M+K]+ 292.251 [M+Na]+ 308.225 [M+H]+ 330.207	38
M333T407	M333.0191T406.84	333.019121357335	333.01370504646	333.022702510402	406.836120605469	406.651672363281	406.847106933594	9	9			20
M334T407	M334.0021T406.84	334.002053783676	333.997160657279	334.011062570091	406.836120605469	406.662506103516	406.847106933594	9	9	[12][M]+		20
M335T407	M335.0013T406.84	335.001320774923	334.993623526249	335.006140621069	406.836120605469	406.662506103516	407.011779785156	5	5	[12][M+1]+		20
M336T670	M336.2895T670.39	336.289495976837	336.285030818337	336.296189617035	670.387451171875	670.361511230469	670.552185058594	9	9			37
M338T739	M338.3125T738.6	338.312473064268	338.30749838125	338.314761126259	738.604064941406	738.017211914062	742.034790039062	9	9			10
M339T475	M339.0724T475.27	339.072361402315	339.06693877218	339.078579264081	475.266010864258	475.102813720703	475.296142578125	10	10	[13][M]+		11
M339T739	M339.2948T738.6	339.294834097	339.292236588927	339.304312167548	738.604064941406	738.182983398438	742.366943359375	9	9			10
M340T475	M340.0578T475.27	340.057792823982	340.050178069809	340.060989087968	475.266010864258	475.104034423828	475.430084228516	10	10	[13][M+1]+		11
M341T475	M341.0563T474.95	341.056319023312	341.048828617312	341.060467393053	474.949005126953	474.7744140625	475.267242431641	7	7	[13][M+2]+		11
M341T348	M341.1147T347.53	341.114669224588	341.111023275956	341.119800194901	347.527954101562	347.419860839844	347.844909667969	5	5			6
M346T550	M346.082T550.3	346.082034988734	346.072496218651	346.083688394427	550.30078125	550.1268	550.632019042969	6	6			52
M347T392	M346.9824T391.61	346.982368801641	346.973464547677	346.985699480112	391.6092	391.450225830078	391.910461425781	5	5			45
M347T402	M347.1585T401.65	347.158508408488	347.151442093376	347.16422390745	401.648712158203	401.041015625	401.751861572266	8	8			51
M348T721	M348.2382T721.43	348.238178997324	348.232735631456	348.244126802586	721.4345703125	720.463623046875	721.636779785156	6	6		[M+K+NH3]+ 292.251 [M+Na+NH3]+ 308.225 [M+H+NH3]+ 330.207	38
M355T209	M355.0171T208.7	355.017067645253	355.012307080312	355.024797198389	208.70369720459	208.616470336914	208.940612792969	10	10		[M+H]+ 354.014	12
M356T209	M355.9986T208.78	355.998564858631	355.995215342644	356.005392692552	208.77806854248	208.453353881836	208.940612792969	8	8	[14][M]+		12
M357T209	M357.0065T208.7	357.006459848261	357.004330958952	357.012123943185	208.702651977539	208.453353881836	208.940612792969	6	6	[14][M+1]+		12
M359T348	M359.1097T347.52	359.109727224285	359.108099003658	359.115814619844	347.521209716797	347.356384277344	347.527954101562	10	10			6
M360T348	M360.0924T347.52	360.092360816695	360.089694478033	360.102136202546	347.519424438477	347.364562988281	347.527557373047	8	8			6
